37 3.25 3.75 4 1.25 1.5 2 0.4545454545 0.4 0.4
38 3.75 3.75 4 1.25 1.25 1.3333333333 0.7272727273 0.9090909091 0.7
39 4.75 4.75 5 2.5 1.5 1.6666666667 0.9090909091 0.875 0.6666666667
40 2.5 2.5 3 2 2.5 3 0.3636363636 0.6363636364 0.3
42 2.25 4.25 2.75 1.5 1.75 1.6666666667 1 0.9090909091 0.8
43 3 3.75 3.25 2.25 2 2.3333333333 0.3636363636 0.4545454545 0.3
44 4 4.5 5 1 1.5 1.3333333333 0.6363636364 0.6363636364 0.3
45 2.75 3.5 4.75 1.25 1 1 0.7272727273 0.7272727273 0.7
46 3.75 3.75 3.5 1.75 1.25 2 0.5454545455 0.4545454545 0.4
48 2.75 3 3.25 2 2 2 0.5454545455 0.5454545455 0.5
50 4 3.75 4 2 1.25 2.3333333333 0.6363636364 0.7 0.4
51 3 4.25 4 2 1.5 2 0.8181818182 0.7272727273 0.5
52 4 4 4 1.5 1.75 1.6666666667 0.8181818182 0.5454545455 0.3
54 2.75 3.25 3.25 2.25 2 2.6666666667 0.1818181818 0.0909090909 0.3
56 3.75 4 3.5 1.25 1 1.3333333333 0.7272727273 0.8181818182 0.2
58 2.5 3.5 2.75 1.25 1.5 2.6666666667 0.4545454545 0.5454545455 0.4
60 4.25 4.75 5 1.25 1 1 0.5454545455 0.5454545455 0.5
62 1.5 3 1.75 3 2.5 4 0.5454545455 0.5454545455 0.7
63 4 4 4 2.5 2 2 0.3636363636 0.7272727273 0.4
64 3 3.5 3.75 1 1 1 0.9090909091 0.8181818182 0.5
66 3 3.5 3.75 1.25 1.5 2.3333333333 0.2727272727 0.2727272727 0.1
67 3.5 3.5 3.75 2.75 2.5 3.3333333333 0.2727272727 0.3636363636 0.2
69 4.5 5 4.75 1.25 1.5 2 0.9090909091 0.8181818182 0.5
70 2.25 2.5 2 3.25 3.5 4 0.4545454545 0.6363636364 0.8
71 4 4 4 2 2 2 0.5454545455 0.5454545455 0.5
72 1.5 2 1.25 5 4.5 3.6666666667 0.2727272727 0.1818181818 0.1
74 3 4 3.5 1.75 2 2 0.3636363636 0.6363636364 0.6
75 1.75 3.25 2 1 1 1 0.4545454545 0.5454545455 0.7
76 2.5 3.75 4 1.25 1.75 2 0.2727272727 0.3636363636 0.3
77 2.75 3.75 2.5 1.75 2.25 2 0.3636363636 0.4545454545 0.3
78 3.75 4.25 3.75 1.25 1.5 1.6666666667 0.8181818182 0.8181818182 0.7
79 2.75 1.75 2.75 1.75 2 2 0.3636363636 0.0909090909 0.3
80 2.5 2.75 2.5 2.5 3 3 0.1818181818 0.5454545455 0.6
